,cycle,cpd01080,cpd00264,cpd00161,cpd00149,cpd00011,cpd00063,cpd00205,cpd00035,cpd00276,cpd00041,cpd00064,cpd00069,cpd00132,cpd00239,cpd00092,cpd00058,cpd00030,cpd00027,cpd04450,cpd00001,cpd00033,cpd00156,cpd00138,cpd00254,cpd00029,cpd00067,cpd00051,cpd15378,cpd00039,cpd00116,cpd00012,cpd00244,cpd01034,cpd00023,cpd00034,cpd10516,cpd00971,cpd00020,cpd10515,cpd04383,cpd00066,cpd00128,cpd00226,cpd00084,cpd00438,cpd00129,cpd00106,cpd00644,cpd00013,cpd00220,cpd01024,cpd01007,cpd00528,cpd00099,cpd00053,cpd00009,cpd00118,cpd00322,cpd00047,cpd00107,cpd00131,cpd00229,cpd00060,cpd00054,cpd00082,cpd00119,cpd00218,cpd00048,cpd00065
37,77,1.134559533,2.322138168,1.180123484,2499.984283,9.058588357,2499.984283,2499.984307,0.618879841,1.036876345,1.577573191,0.0,4.202301435,0.481276479,2512.890384,0.0,2499.985047,2499.985017,0.290701862,14.82030932,2703.865851,3.073604474,4.233275333,0.0,2499.984283,11.5802701,9619.809325,3.701153521,0.001460392,2.801407342,43.35223414,1.280449469,2499.999264,66.35218075,0.277199808,2499.985043,2499.985102,2500,0.040516,2499.952773,29.58465641,6.214156976,0.0,2.670395257,5.309084928,0.0,0.914285575,2.450317193,0.010743543,500014.5274,0.0,14.28230846,183.3749489,2496.668653,2499.984281,0.283138039,499994.1653,1.148193829,10.45828542,0.000112,5.368172247,2499.999264,0.002045206,0.49271822,4.346205154,0.0,3.924087721,1.62e-06,2491.4617,5.362793392
38,78,1.16803577,2.352379587,1.123855501,2499.983781,9.068107872,2499.983781,2499.983807,0.587723257,1.043951716,1.464759482,0.0,4.067636815,0.45421415,2513.312976,0.0,2499.984579,2499.984547,0.231988123,14.8073985,2711.572973,3.011935505,4.28786484,0.0,2499.983781,11.41276939,9606.572042,3.781231375,0.001477473,2.743029215,43.44351267,1.475009588,2499.999232,66.32866103,0.261968275,2499.984575,2499.984663,2500,0.036717821,2499.951238,29.56113669,6.551502282,0.0,2.730299154,5.414296948,0.0,0.921431218,2.516951474,0.010781686,500015.1565,0.0,14.84577957,183.3375052,2496.497566,2499.98378,0.267443424,499993.6613,1.148055363,10.84247875,9.99e-05,5.444580909,2499.999232,0.002072947,0.534746241,4.281456318,0.0,4.005361186,1.5e-06,2491.084503,5.470630699
39,79,1.200358809,2.380683794,1.07138931,2499.983283,9.067592664,2499.983283,2499.98331,0.560481533,1.04724757,1.35702364,0.0,3.936057656,0.430853892,2513.743236,0.0,2499.984115,2499.984081,0.180878754,14.79493982,2719.342179,2.950819785,4.263122758,0.0,2499.983283,11.24136838,9593.126121,3.86214038,0.001493888,2.679319467,43.52632093,1.709205605,2499.999201,66.30595202,0.248285696,2499.984109,2499.984233,2500,0.033106215,2499.949707,29.53842769,6.885284887,0.0,2.786145449,5.519209113,0.0,0.928671942,2.580256621,0.010766576,500015.8078,0.0,15.41751011,183.3021056,2496.322951,2499.983281,0.253229935,499993.0784,1.147918378,11.20746715,0.000107,5.599599243,2499.999201,0.002099317,0.578471727,4.212288851,0.0,4.086823351,1.39e-06,2490.697454,5.578129994
40,80,1.231563423,2.407188309,1.022781077,2499.982787,9.057588643,2499.982787,2499.982816,0.536625735,1.047066322,1.255157382,3.42e-05,3.808122969,0.410627494,2514.181116,0.0,2499.983654,2499.983618,0.13670885,14.78291888,2727.155859,2.890678766,4.102161953,0.0,2499.982787,11.06641963,9579.487345,3.943751452,0.001509719,2.610416926,43.60146239,1.948431069,2499.999168,66.28402699,0.235930233,2499.983647,2499.983811,2500,0.029692824,2499.94818,29.51650265,7.214914898,0.0,2.838128294,5.623802117,0.0,0.936003969,2.640135323,0.010750097,500016.4896,0.0,15.99768919,183.2686,2496.144872,2499.982786,0.240320232,499992.486,1.147783125,11.5435472,0.000127,5.890091181,2499.999168,0.002124515,0.62315176,4.140556066,0.0,4.16838496,1.29e-06,2490.301324,5.685267589
41,81,1.261684292,2.43201947,0.978010214,2499.982295,9.038610326,2499.982295,2499.982324,0.515684854,1.045481258,1.15963161,0.000184,3.684296637,0.393019352,2514.626454,0.0,2499.983196,2499.983158,0.098814553,14.7713176,2734.967647,2.831903474,3.932874504,0.0,2499.982295,10.88826233,9565.817336,4.02714281,0.001524624,2.536475855,43.66966132,2.1922635,2499.999136,66.2628602,0.224290927,2499.983189,2499.983399,2500,0.026486935,2499.946657,29.49533586,7.539907864,0.0,2.886479431,5.728059565,0.0,0.943442173,2.697590343,0.010724431,500017.179,0.0,16.58647379,183.2368541,2495.963397,2499.982294,0.228553552,499991.8849,1.147649965,11.87181862,0.000144,6.188192208,2499.999136,0.002148764,0.668176782,4.06207846,0.0,4.249949673,1.19e-06,2489.896868,5.792020023
42,82,1.290755835,2.455806515,0.936990381,2499.981805,9.011098418,2499.981805,2499.981835,0.497239772,1.041074261,1.070564149,0.000175,3.56492182,0.377689669,2515.079042,0.0,2499.982741,2499.982702,0.06895648,14.76012654,2742.772994,2.769344229,3.770298466,0.0,2499.981805,10.70700043,9552.14637,4.111011604,0.001539599,2.457601003,43.73156183,2.440221164,2499.999102,66.2424264,0.213751944,2499.982733,2499.982995,2500,0.023495281,2499.945137,29.47490206,7.859846904,0.0,2.931410819,5.831945004,0.0,0.945757945,2.751975165,0.010699878,500017.8724,0.0,17.18399124,183.2067442,2495.778608,2499.981804,0.217783693,499991.276,1.147738918,12.19458616,0.000167,6.47883643,2499.999102,0.002171445,0.713053066,3.984218993,0.0,4.334490294,1.1e-06,2489.484749,5.898351154
43,83,1.318810348,2.479045939,0.899592149,2499.981318,8.975560652,2499.981318,2499.981349,0.480927828,1.034263931,0.987930005,0.000168,3.450274139,0.364282847,2515.538799,0.0,2499.982289,2499.982248,0.048134511,14.74933273,2750.572123,2.702871606,3.614668671,0.0,2499.981318,10.52284703,9538.48638,4.195207424,0.001553619,2.373969732,43.7877665,2.691867359,2499.999069,66.22270169,0.204114408,2499.98228,2499.982599,2500,0.020721976,2499.943619,29.45517735,8.174413001,0.0,2.973152542,5.935660794,0.0,0.939711582,2.803436348,0.010671571,500018.5677,0.0,17.79033674,183.1781665,2495.590597,2499.981317,0.205011695,499990.6603,1.147610107,12.511742,0.000172,6.761810652,2499.999069,0.002193742,0.757472891,3.908278484,0.0,4.424944328,1.01e-06,2489.065094,6.004228285
44,84,1.345882256,2.501830791,0.865645162,2499.980833,8.932414653,2499.980833,2499.980865,0.466434684,1.025586398,0.91016637,0.00016,3.340535061,0.352898889,2516.005593,0.0,2499.981839,2499.981797,0.033667235,14.73890766,2758.364542,2.639174805,3.466134993,0.0,2499.980833,10.3362679,9524.849736,4.279562981,0.001567236,2.285704777,43.83882812,2.946777642,2499.999035,66.20366305,0.195243442,2499.98183,2499.98221,2500,0.018168489,2499.942104,29.43613871,8.483346315,0.0,3.011909132,6.038940863,0.0,0.930863523,2.852229546,0.010644111,500019.2621,0.0,18.40565376,183.1510292,2495.399474,2499.980832,0.187256735,499990.0385,1.147483613,12.82307376,0.000175,7.036911622,2499.999035,0.002215686,0.800384938,3.835545717,0.0,4.520240368,9.24e-07,2488.639298,6.109618276
45,85,1.371999555,2.523994273,0.834957546,2499.980351,8.881920911,2499.980351,2499.980383,0.453490418,1.015594485,0.836430025,0.000153,3.235833339,0.342837575,2516.478916,0.0,2499.981393,2499.981349,0.023524402,14.72887008,2766.147511,2.57833636,3.324785922,0.0,2499.980351,10.14727319,9511.247682,4.364006541,0.001580957,2.192948507,43.88523154,3.2045315,2499.999001,66.18528637,0.187033299,2499.981382,2499.981829,2500,0.015833713,2499.940591,29.41776203,8.786461434,0.0,3.047827174,6.141755041,0.0,0.920870261,2.898276845,0.010619481,500019.9528,0.0,19.03013319,183.1252437,2495.205368,2499.98035,0.168912515,499989.4116,1.147359544,13.12847437,0.000175,7.304090402,2499.999001,0.0022373,0.841384204,3.766641949,0.0,4.618562566,8.52e-07,2488.208266,6.214488216
46,86,1.397194082,2.545314348,0.804708517,2499.979872,8.824373257,2499.979872,2499.979904,0.441863422,1.004670388,0.766457075,0.000147,3.136234502,0.333912563,2516.958222,0.0,2499.980949,2499.980905,0.016425624,14.7191855,2773.918744,2.520404921,3.190621044,0.0,2499.979872,9.956024229,9497.689723,4.448481148,0.001593857,2.095922024,43.92740286,3.464705832,2499.998966,66.16755211,0.179382268,2499.980938,2499.981455,2500,0.013714102,2499.939083,29.40002778,9.083626801,3.65e-06,3.081037119,6.244067456,0.0,0.911535741,2.941440037,0.010593586,500020.6382,0.0,19.66381163,183.1007299,2495.008407,2499.979871,0.155108066,499988.7805,1.147237952,13.42796063,0.000173,7.563343774,2499.998966,0.002258606,0.880247035,3.701886167,0.0,4.717295539,7.79e-07,2487.772744,6.318802157
