,cycle,species,biomass
311,62,Methanosarcina_acetivorans,1.771106263
312,62,Methanobacterium_formicicum,1.877525345
313,62,Dielma_fastidiosa,5.385538175
314,62,Tepidimonas_charontis,3.591046296
315,62,Gudongella_oleilytica,6.885616998
316,62,Dechloromonas_aromatica,0.519301247
317,62,Longilinea_sp.,3.196131848
318,62,Hydrogenophaga_aromaticivorans,1.100637508
319,62,Petrimonas_mucosa,1.448875672
320,62,Neobacillus_niacini,7.525434517
321,62,Clostridium_fungisolvens,37.22817592
322,63,Pseudomonas_phenolilytica,1.153211411
323,63,Mariniplasma_anaerobium,3.811506542
324,63,Mariniphaga_anaerophila,24.26142148
325,63,Methanosarcina_acetivorans,1.810550471
326,63,Methanobacterium_formicicum,1.937557639
327,63,Dielma_fastidiosa,5.34672169
328,63,Tepidimonas_charontis,3.848835435
329,63,Gudongella_oleilytica,7.053706744
330,63,Dechloromonas_aromatica,0.50230769
331,63,Longilinea_sp.,3.375534254
332,63,Hydrogenophaga_aromaticivorans,1.009156955
333,63,Petrimonas_mucosa,1.456858414
334,63,Neobacillus_niacini,7.189376641
335,63,Clostridium_fungisolvens,37.24325463
336,64,Pseudomonas_phenolilytica,1.123450729
337,64,Mariniplasma_anaerobium,4.061391136
338,64,Mariniphaga_anaerophila,23.79880393
339,64,Methanosarcina_acetivorans,1.849382023
340,64,Methanobacterium_formicicum,1.998589907
341,64,Dielma_fastidiosa,5.304476701
342,64,Tepidimonas_charontis,4.121543677
343,64,Gudongella_oleilytica,7.216599593
344,64,Dechloromonas_aromatica,0.485523393
345,64,Longilinea_sp.,3.559826859
346,64,Hydrogenophaga_aromaticivorans,0.925062832
347,64,Petrimonas_mucosa,1.462826534
348,64,Neobacillus_niacini,6.863696616
349,64,Clostridium_fungisolvens,37.22882608
350,65,Pseudomonas_phenolilytica,1.093775913
351,65,Mariniplasma_anaerobium,4.320832096
352,65,Mariniphaga_anaerophila,23.32924722
353,65,Methanosarcina_acetivorans,1.887574636
354,65,Methanobacterium_formicicum,2.060536637
355,65,Dielma_fastidiosa,5.259070725
356,65,Tepidimonas_charontis,4.409195469
357,65,Gudongella_oleilytica,7.373495636
358,65,Dechloromonas_aromatica,0.468981617
359,65,Longilinea_sp.,3.747907422
360,65,Hydrogenophaga_aromaticivorans,0.847382491
361,65,Petrimonas_mucosa,1.466826811
362,65,Neobacillus_niacini,6.548578859
363,65,Clostridium_fungisolvens,37.18659447
364,66,Pseudomonas_phenolilytica,1.064264285
365,66,Mariniplasma_anaerobium,4.587927315
366,66,Mariniphaga_anaerophila,22.85455273
367,66,Methanosarcina_acetivorans,1.925116963
368,66,Methanobacterium_formicicum,2.123338801
369,66,Dielma_fastidiosa,5.210785063
370,66,Tepidimonas_charontis,4.711754893
371,66,Gudongella_oleilytica,7.523707703
372,66,Dechloromonas_aromatica,0.452713491
373,66,Longilinea_sp.,3.938518659
374,66,Hydrogenophaga_aromaticivorans,0.775705758
375,66,Petrimonas_mucosa,1.468918444
376,66,Neobacillus_niacini,6.244282695
377,66,Clostridium_fungisolvens,37.1184132
378,67,Pseudomonas_phenolilytica,1.034982975
379,67,Mariniplasma_anaerobium,4.860998575
380,67,Mariniphaga_anaerophila,22.3762324
381,67,Methanosarcina_acetivorans,1.962018767
382,67,Methanobacterium_formicicum,2.186954766
383,67,Dielma_fastidiosa,5.159927672
384,67,Tepidimonas_charontis,5.029148592
385,67,Gudongella_oleilytica,7.666703657
386,67,Dechloromonas_aromatica,0.436748972
387,67,Longilinea_sp.,4.130289623
388,67,Hydrogenophaga_aromaticivorans,0.709657978
389,67,Petrimonas_mucosa,1.46917443
390,67,Neobacillus_niacini,5.950794137
391,67,Clostridium_fungisolvens,37.02636745
392,68,Pseudomonas_phenolilytica,1.00599591
393,68,Mariniplasma_anaerobium,5.138114452
394,68,Mariniphaga_anaerophila,21.89596223
395,68,Methanosarcina_acetivorans,1.998306814
396,68,Methanobacterium_formicicum,2.251356933
397,68,Dielma_fastidiosa,5.106813972
398,68,Tepidimonas_charontis,5.361155941
399,68,Gudongella_oleilytica,7.802094449
400,68,Dechloromonas_aromatica,0.421113172
401,68,Longilinea_sp.,4.321441791
402,68,Hydrogenophaga_aromaticivorans,0.648848282
403,68,Petrimonas_mucosa,1.467744299
404,68,Neobacillus_niacini,5.668189257
405,68,Clostridium_fungisolvens,36.9128625
406,69,Pseudomonas_phenolilytica,0.97737193
407,69,Mariniplasma_anaerobium,5.41712127
408,69,Mariniphaga_anaerophila,21.41540072
409,69,Methanosarcina_acetivorans,2.034029302
410,69,Methanobacterium_formicicum,2.316539312
411,69,Dielma_fastidiosa,5.051782039
412,69,Tepidimonas_charontis,5.707660879
413,69,Gudongella_oleilytica,7.929655339
414,69,Dechloromonas_aromatica,0.405832366
415,69,Longilinea_sp.,4.510157225
416,69,Hydrogenophaga_aromaticivorans,0.592922793
417,69,Petrimonas_mucosa,1.464726748
418,69,Neobacillus_niacini,5.39651023
419,69,Clostridium_fungisolvens,36.78028985
420,70,Pseudomonas_phenolilytica,0.949205696
421,70,Mariniplasma_anaerobium,5.694771303
422,70,Mariniphaga_anaerophila,20.93641438
423,70,Methanosarcina_acetivorans,2.069262768
424,70,Methanobacterium_formicicum,2.38252531
425,70,Dielma_fastidiosa,4.995245193
426,70,Tepidimonas_charontis,6.068760579
427,70,Gudongella_oleilytica,8.049374916
428,70,Dechloromonas_aromatica,0.390937886
429,70,Longilinea_sp.,4.694539082
430,70,Hydrogenophaga_aromaticivorans,0.541551635
431,70,Petrimonas_mucosa,1.460177948
432,70,Neobacillus_niacini,5.135822599
433,70,Clostridium_fungisolvens,36.6314107
434,71,Pseudomonas_phenolilytica,0.921553959
435,71,Mariniplasma_anaerobium,5.968497872
436,71,Mariniphaga_anaerophila,20.46094449
437,71,Methanosarcina_acetivorans,2.103942779
438,71,Methanobacterium_formicicum,2.448933922
439,71,Dielma_fastidiosa,4.937631347
440,71,Tepidimonas_charontis,6.444041048
441,71,Gudongella_oleilytica,8.160913832
442,71,Dechloromonas_aromatica,0.376455999
443,71,Longilinea_sp.,4.872856572
444,71,Hydrogenophaga_aromaticivorans,0.494422611
445,71,Petrimonas_mucosa,1.45423651
446,71,Neobacillus_niacini,4.886169377
447,71,Clostridium_fungisolvens,36.46939968
448,72,Pseudomonas_phenolilytica,0.894429529
449,72,Mariniplasma_anaerobium,6.235693229
450,72,Mariniphaga_anaerophila,19.99084723
451,72,Methanosarcina_acetivorans,2.13800399
452,72,Methanobacterium_formicicum,2.515422054
453,72,Dielma_fastidiosa,4.879371166
454,72,Tepidimonas_charontis,6.833075674
455,72,Gudongella_oleilytica,8.26410497
456,72,Dechloromonas_aromatica,0.362409614
457,72,Longilinea_sp.,5.043424355
458,72,Hydrogenophaga_aromaticivorans,0.451243602
459,72,Petrimonas_mucosa,1.447016784
460,72,Neobacillus_niacini,4.647541448
461,72,Clostridium_fungisolvens,36.29741635
462,73,Pseudomonas_phenolilytica,0.867944808
463,73,Mariniplasma_anaerobium,6.493460029
464,73,Mariniphaga_anaerophila,19.52776436
465,73,Methanosarcina_acetivorans,2.171654489
466,73,Methanobacterium_formicicum,2.582204253
467,73,Dielma_fastidiosa,4.820899378
468,73,Tepidimonas_charontis,7.236009345
469,73,Gudongella_oleilytica,8.359598475
470,73,Dechloromonas_aromatica,0.348817918
471,73,Longilinea_sp.,5.204421743
472,73,Hydrogenophaga_aromaticivorans,0.411717404
473,73,Petrimonas_mucosa,1.438283455
474,73,Neobacillus_niacini,4.419620329
475,73,Clostridium_fungisolvens,36.11760402
476,74,Pseudomonas_phenolilytica,0.84212569
477,74,Mariniplasma_anaerobium,6.739699103
478,74,Mariniphaga_anaerophila,19.07277908
479,74,Methanosarcina_acetivorans,2.205055808
480,74,Methanobacterium_formicicum,2.649437529
481,74,Dielma_fastidiosa,4.762502668
482,74,Tepidimonas_charontis,7.652400349
483,74,Gudongella_oleilytica,8.447953663
484,74,Dechloromonas_aromatica,0.335687066
485,74,Longilinea_sp.,5.354629934
486,74,Hydrogenophaga_aromaticivorans,0.375569714
487,74,Petrimonas_mucosa,1.42804779
488,74,Neobacillus_niacini,4.202302938
489,74,Clostridium_fungisolvens,35.93180867
490,75,Pseudomonas_phenolilytica,0.816942344
491,75,Mariniplasma_anaerobium,6.972965346
492,75,Mariniphaga_anaerophila,18.62637557
493,75,Methanosarcina_acetivorans,2.238304256
494,75,Methanobacterium_formicicum,2.717202914
495,75,Dielma_fastidiosa,4.704318072
496,75,Tepidimonas_charontis,8.082030138
497,75,Gudongella_oleilytica,8.529574572
498,75,Dechloromonas_aromatica,0.323011078
499,75,Longilinea_sp.,5.493322146
500,75,Hydrogenophaga_aromaticivorans,0.342539515
501,75,Petrimonas_mucosa,1.416456857
502,75,Neobacillus_niacini,3.99546362
503,75,Clostridium_fungisolvens,35.74149357
504,76,Pseudomonas_phenolilytica,0.7924457
505,76,Mariniplasma_anaerobium,7.192154143
506,76,Mariniphaga_anaerophila,18.18895146
507,76,Methanosarcina_acetivorans,2.271493103
508,76,Methanobacterium_formicicum,2.785564233
509,76,Dielma_fastidiosa,4.646469427
510,76,Tepidimonas_charontis,8.524683376
511,76,Gudongella_oleilytica,8.604905645
512,76,Dechloromonas_aromatica,0.31078233
513,76,Longilinea_sp.,5.620047966
514,76,Hydrogenophaga_aromaticivorans,0.312356443
515,76,Petrimonas_mucosa,1.403661494
516,76,Neobacillus_niacini,3.79849062
517,76,Clostridium_fungisolvens,35.54799406
518,77,Pseudomonas_phenolilytica,0.768608595
519,77,Mariniplasma_anaerobium,7.396400616
520,77,Mariniphaga_anaerophila,17.76077386
521,77,Methanosarcina_acetivorans,2.30446383
522,77,Methanobacterium_formicicum,2.854609673
523,77,Dielma_fastidiosa,4.58905478
524,77,Tepidimonas_charontis,8.980163431
525,77,Gudongella_oleilytica,8.674392755
526,77,Dechloromonas_aromatica,0.298991423
527,77,Longilinea_sp.,5.734511186
528,77,Hydrogenophaga_aromaticivorans,0.284780477
529,77,Petrimonas_mucosa,1.389804993
530,77,Neobacillus_niacini,3.611014022
531,77,Clostridium_fungisolvens,35.35243036
532,78,Pseudomonas_phenolilytica,0.74543972
533,78,Mariniplasma_anaerobium,7.585074679
534,78,Mariniphaga_anaerophila,17.34194624
535,78,Methanosarcina_acetivorans,2.337272987
536,78,Methanobacterium_formicicum,2.924366101
537,78,Dielma_fastidiosa,4.532135999
538,78,Tepidimonas_charontis,9.448233724
539,78,Gudongella_oleilytica,8.738445388
540,78,Dechloromonas_aromatica,0.28762652
541,78,Longilinea_sp.,5.836577856
542,78,Hydrogenophaga_aromaticivorans,0.259601236
543,78,Petrimonas_mucosa,1.375017058
544,78,Neobacillus_niacini,3.432643463
545,78,Clostridium_fungisolvens,35.15561903
546,79,Pseudomonas_phenolilytica,0.722929842
547,79,Mariniplasma_anaerobium,7.757768263
548,79,Mariniphaga_anaerophila,16.93248058
549,79,Methanosarcina_acetivorans,2.369982822
550,79,Methanobacterium_formicicum,2.994856644
551,79,Dielma_fastidiosa,4.475754762
552,79,Tepidimonas_charontis,9.928598653
553,79,Gudongella_oleilytica,8.797449125
554,79,Dechloromonas_aromatica,0.276674503
555,79,Longilinea_sp.,5.926277
556,79,Hydrogenophaga_aromaticivorans,0.236607352
557,79,Petrimonas_mucosa,1.359423035
558,79,Neobacillus_niacini,3.262985828
559,79,Clostridium_fungisolvens,34.95821159
560,80,Pseudomonas_phenolilytica,0.701082742
561,80,Mariniplasma_anaerobium,7.91427787
562,80,Mariniphaga_anaerophila,16.53233607
563,80,Methanosarcina_acetivorans,2.402638908
564,80,Methanobacterium_formicicum,3.06607565
565,80,Dielma_fastidiosa,4.419920399
566,80,Tepidimonas_charontis,10.4206909
567,80,Gudongella_oleilytica,8.851745445
568,80,Dechloromonas_aromatica,0.266119475
569,80,Longilinea_sp.,6.00390788
570,80,Hydrogenophaga_aromaticivorans,0.215623255
571,80,Petrimonas_mucosa,1.34318053
572,80,Neobacillus_niacini,3.101667003
573,80,Clostridium_fungisolvens,34.76073387
574,81,Pseudomonas_phenolilytica,0.679878148
575,81,Mariniplasma_anaerobium,8.054666218
576,81,Mariniphaga_anaerophila,16.14161513
577,81,Methanosarcina_acetivorans,2.43529927
578,81,Methanobacterium_formicicum,3.138033576
579,81,Dielma_fastidiosa,4.364435968
580,81,Tepidimonas_charontis,10.92397956
581,81,Gudongella_oleilytica,8.90173465
582,81,Dechloromonas_aromatica,0.255954398
583,81,Longilinea_sp.,6.069935298
584,81,Hydrogenophaga_aromaticivorans,0.196468708
585,81,Petrimonas_mucosa,1.326463121
586,81,Neobacillus_niacini,2.947644633
587,81,Clostridium_fungisolvens,34.56389133
588,82,Pseudomonas_phenolilytica,0.65927407
589,82,Mariniplasma_anaerobium,8.178935797
590,82,Mariniphaga_anaerophila,15.76002957
591,82,Methanosarcina_acetivorans,2.467976647
592,82,Methanobacterium_formicicum,3.210681766
593,82,Dielma_fastidiosa,4.309509979
594,82,Tepidimonas_charontis,11.43780731
595,82,Gudongella_oleilytica,8.947637841
596,82,Dechloromonas_aromatica,0.246156467
597,82,Longilinea_sp.,6.124664527
598,82,Hydrogenophaga_aromaticivorans,0.178977702
599,82,Petrimonas_mucosa,1.309353817
600,82,Neobacillus_niacini,2.80126756
601,82,Clostridium_fungisolvens,34.36772694
602,83,Pseudomonas_phenolilytica,0.639269553
603,83,Mariniplasma_anaerobium,8.287440863
604,83,Mariniphaga_anaerophila,15.38738866
